,Year,Airport,Cause,Delays (%)
148,2007,SLC,Air Carrier Delay,7.157826360554573
149,2007,TPA,Air Carrier Delay,6.641699770673816
150,2008,ATL,Air Carrier Delay,5.0230868882396775
151,2008,BOS,Air Carrier Delay,5.292147120667435
152,2008,BWI,Air Carrier Delay,4.591411384863745
153,2008,CLT,Air Carrier Delay,5.8095374117273675
154,2008,DAL,Air Carrier Delay,3.373440136470676
155,2008,DCA,Air Carrier Delay,5.271855637987334
156,2008,DEN,Air Carrier Delay,4.880647699507185
157,2008,DFW,Air Carrier Delay,4.218364540282374
158,2008,DTW,Air Carrier Delay,4.6588765432098755
159,2008,EWR,Air Carrier Delay,3.473792520813625
160,2008,FLL,Air Carrier Delay,6.665088792628649
161,2008,IAD,Air Carrier Delay,7.865631001552182
162,2008,IAH,Air Carrier Delay,4.122855908403544
163,2008,JFK,Air Carrier Delay,4.993880574401104
164,2008,LAS,Air Carrier Delay,5.164544660469369
165,2008,LAX,Air Carrier Delay,5.7282518487609275
166,2008,LGA,Air Carrier Delay,4.463267207871255
167,2008,MCO,Air Carrier Delay,5.807036581358563
168,2008,MDW,Air Carrier Delay,3.680730593607306
169,2008,MIA,Air Carrier Delay,7.751989389920419
170,2008,MSP,Air Carrier Delay,5.177240638428484
171,2008,ORD,Air Carrier Delay,4.193778320568866
172,2008,PDX,Air Carrier Delay,6.184779978568219
173,2008,PHL,Air Carrier Delay,4.820984644168668
174,2008,PHX,Air Carrier Delay,5.335454527219482
175,2008,SAN,Air Carrier Delay,5.836650666666666
176,2008,SEA,Air Carrier Delay,6.297144166857665
177,2008,SFO,Air Carrier Delay,5.687869454185903
178,2008,SLC,Air Carrier Delay,4.09332240413584
179,2008,TPA,Air Carrier Delay,5.965818526051859
180,2009,ATL,Air Carrier Delay,3.685619072155109
181,2009,BOS,Air Carrier Delay,4.942968319745765
182,2009,BWI,Air Carrier Delay,4.232109004739335
183,2009,CLT,Air Carrier Delay,4.992805448764395
184,2009,DAL,Air Carrier Delay,2.8479052069978072
